# Depth (um), Electronic Energy Loss (keV/nm), Nuclear Energy Loss (keV/nm), Total Energy Loss (keV/nm), Energy (keV)
0.000000000000000000e+00,2.358906590000000136e+01,2.714612560000000119e-02,2.361621202560000299e+01,1.650000000000000000e+06
2.109999999999999432e+00,2.371191140000000175e+01,2.787227899999999980e-02,2.373978367900000208e+01,1.600000000000000000e+06
6.299999999999997158e+00,2.395487250000000046e+01,2.945562100000000127e-02,2.398432812100000078e+01,1.500000000000000000e+06
1.045000000000000284e+01,2.419783360000000272e+01,3.125735500000000056e-02,2.422909095500000376e+01,1.400000000000000000e+06
1.454999999999999716e+01,2.443260499999999880e+01,3.330477999999999911e-02,2.446590978000000050e+01,1.300000000000000000e+06
1.861999999999999744e+01,2.465372690000000233e+01,3.567979300000000131e-02,2.468940669300000224e+01,1.200000000000000000e+06
2.265999999999999659e+01,2.485846940000000060e+01,3.843699200000000316e-02,2.489690639200000177e+01,1.100000000000000000e+06
2.665999999999999659e+01,2.502772320000000406e+01,4.168557300000000354e-02,2.506940877300000281e+01,1.000000000000000000e+06
3.064000000000000057e+01,2.515056870000000089e+01,4.558933000000000429e-02,2.519615802999999943e+01,9.000000000000000000e+05
3.459999999999999432e+01,2.519970690000000246e+01,5.036665500000000323e-02,2.525007355500000372e+01,8.000000000000000000e+05
3.855999999999999517e+01,2.514510890000000032e+01,5.637243499999999852e-02,2.520148133500000043e+01,7.000000000000000000e+05
4.054999999999999716e+01,2.506048200000000037e+01,6.000320199999999854e-02,2.512048520200000112e+01,6.500000000000000000e+05
4.254999999999999716e+01,2.492671690000000240e+01,6.417994900000001390e-02,2.499089684900000208e+01,6.000000000000000000e+05
4.454999999999999716e+01,2.473289400000000171e+01,6.903917100000001028e-02,2.480193317100000172e+01,5.500000000000000000e+05
4.657999999999999829e+01,2.446263390000000015e+01,7.474466200000000338e-02,2.453737856200000067e+01,5.000000000000000000e+05
4.862999999999999545e+01,2.421967280000000144e+01,8.159671100000000232e-02,2.430126951100000099e+01,4.500000000000000000e+05
5.069999999999999574e+01,2.372556090000000140e+01,8.997750400000001370e-02,2.381553840400000155e+01,4.000000000000000000e+05
5.175999999999999801e+01,2.335156460000000322e+01,9.489132400000001299e-02,2.344645592400000211e+01,3.750000000000000000e+05
5.282999999999999829e+01,2.294480949999999808e+01,1.004603199999999918e-01,2.304526981999999791e+01,3.500000000000000000e+05
5.392999999999999261e+01,2.248345639999999790e+01,1.067663890000000032e-01,2.259022278899999847e+01,3.250000000000000000e+05
5.504999999999999716e+01,2.195931560000000005e+01,1.140006240000000226e-01,2.207331622399999915e+01,3.000000000000000000e+05
5.618999999999999773e+01,2.136692730000000040e+01,1.223814169999999923e-01,2.148930871700000012e+01,2.750000000000000000e+05
5.736999999999999744e+01,2.069264199999999931e+01,1.322363559999999993e-01,2.082487835599999926e+01,2.500000000000000000e+05
5.859999999999999432e+01,1.991735040000000012e+01,1.440295239999999921e-01,2.006137992400000059e+01,2.250000000000000000e+05
5.986999999999999744e+01,1.902467310000000111e+01,1.583614989999999889e-01,1.918303459900000263e+01,2.000000000000000000e+05
6.092999999999999261e+01,1.820843299999999942e+01,1.723112879999999791e-01,1.838074428799999893e+01,1.800000000000000000e+05
6.147999999999999687e+01,1.775799949999999683e+01,1.803371939999999785e-01,1.793833669399999664e+01,1.700000000000000000e+05
6.204999999999999716e+01,1.727753709999999998e+01,1.892639670000000052e-01,1.746680106699999868e+01,1.600000000000000000e+05
6.262999999999999545e+01,1.676431589999999971e+01,1.992008030000000096e-01,1.696351670299999981e+01,1.500000000000000000e+05
6.321999999999999886e+01,1.621287610000000257e+01,2.103387949999999951e-01,1.642321489500000098e+01,1.400000000000000000e+05
6.383999999999999631e+01,1.561502800000000235e+01,2.229782319999999984e-01,1.583800623200000146e+01,1.300000000000000000e+05
6.447999999999998977e+01,1.497077160000000262e+01,2.374194030000000288e-01,1.520819100300000315e+01,1.200000000000000000e+05
6.515999999999999659e+01,1.426918730000000224e+01,2.540717929999999902e-01,1.452325909300000184e+01,1.100000000000000000e+05
6.585999999999999943e+01,1.350208540000000035e+01,2.735359800000000119e-01,1.377562138000000047e+01,1.000000000000000000e+05
6.660999999999999943e+01,1.266127619999999965e+01,2.967401300000000464e-01,1.295801632999999953e+01,9.000000000000000000e+04
